School Year,District,City,State,StudentID,Grade,Math Score,Reading Score,Math Tutor,Math Tutor Hours,Math Tutor Period,Reading Tutor,Reading Tutor Hours,Reading Tutor Period
2022-2023,Alderwood County Schools,Pompano Beach,FL,1,9,389,256,,,,,,
2022-2023,,,,2,9,405,184,,,,Olivia Simmons,5,2
2022-2023,,,,3,11,135,196,Henry Cooper,17,6,Henry Cooper,18,2
2022-2023,,,,4,11,136,330,James Turner,4,1,,,
2022-2023,,,,5,10,311,351,,,,,,
2022-2023,,,,6,9,298,326,,,,,,
2022-2023,,,,7,9,469,500,,,,,,
2022-2023,,,,8,10,253,440,,,,,,
2022-2023,,,,9,9,459,183,,,,Logan Carter,14,5
2022-2023,,,,10,9,168,268,Ethan Morgan,32,1,,,
2022-2023,,,,11,10,357,313,,,,,,
2022-2023,,,,12,9,425,121,,,,Aria Peterson,37,5
2022-2023,,,,13,10,419,124,,,,Emily Foster,29,5
2022-2023,,,,14,9,453,348,,,,,,
2022-2023,,,,15,10,368,391,,,,,,
2022-2023,,,,16,9,423,486,,,,,,
2022-2023,,,,17,11,412,256,,,,,,
2022-2023,,,,18,10,242,267,,,,,,
2022-2023,,,,19,9,228,345,,,,,,
2022-2023,,,,20,10,148,463,Matthew Hughes,4,4,,,
2022-2023,,,,21,11,135,408,Ava Parker,23,2,,,
2022-2023,,,,22,11,247,400,,,,,,
2022-2023,,,,23,10,374,201,,,,,,
2022-2023,,,,24,9,140,179,Daniel Wright,5,2,Daniel Wright,32,2
2022-2023,,,,25,11,396,391,,,,,,
2022-2023,,,,26,11,199,487,Nicholas Turner,30,4,,,
2022-2023,,,,27,10,424,230,,,,,,
2022-2023,,,,28,11,406,294,,,,,,
2022-2023,,,,29,9,261,305,,,,,,
2022-2023,,,,30,10,306,120,,,,Matthew Hughes,31,4
2022-2023,,,,31,10,399,200,,,,,,
2022-2023,,,,32,10,426,498,,,,,,
2022-2023,,,,33,11,496,251,,,,,,
2022-2023,,,,34,11,150,193,Ethan Morgan,28,4,Ethan Morgan,20,4
